               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,             0.03059,           0.0055439,           0.0029771,             0.96713,                   1,               0.995,               0.597,            0.028169,           0.0058326,           0.0013902,              0.0076,              0.0076,              0.0076
                  82,             0.02857,           0.0057397,            0.002681,              0.9681,                   1,               0.995,               0.597,            0.019545,           0.0059895,           0.0011729,             0.00757,             0.00757,             0.00757
                  83,            0.031136,           0.0057253,           0.0032778,             0.96742,                   1,               0.995,               0.796,            0.023008,           0.0058506,           0.0012909,             0.00754,             0.00754,             0.00754
                  84,            0.028432,           0.0061454,           0.0028875,             0.96786,                   1,               0.995,               0.796,            0.023572,           0.0058559,           0.0014092,             0.00751,             0.00751,             0.00751
                  85,            0.029696,           0.0065577,           0.0025563,             0.96938,                   1,               0.995,               0.597,             0.02338,           0.0062204,           0.0015637,             0.00748,             0.00748,             0.00748
                  86,            0.028597,           0.0056916,           0.0025197,             0.96889,                   1,               0.995,              0.6965,            0.021309,           0.0059694,           0.0015807,             0.00745,             0.00745,             0.00745
                  87,            0.028081,           0.0056636,           0.0029112,             0.96459,                   1,               0.995,              0.6965,            0.019401,           0.0062151,           0.0018111,             0.00742,             0.00742,             0.00742
                  88,            0.030518,           0.0049338,           0.0029802,             0.96134,                   1,               0.995,              0.6965,            0.024862,            0.006131,           0.0019217,             0.00739,             0.00739,             0.00739
                  89,            0.030246,           0.0051754,           0.0028634,             0.96607,                   1,               0.995,              0.6965,            0.023455,           0.0058599,           0.0017747,             0.00736,             0.00736,             0.00736
                  90,            0.029621,           0.0055994,           0.0028876,             0.96881,                   1,               0.995,              0.6965,            0.028213,           0.0058065,           0.0015935,             0.00733,             0.00733,             0.00733
                  91,            0.031878,           0.0056731,           0.0029855,             0.97073,                   1,               0.995,               0.796,            0.021437,           0.0058786,           0.0014062,              0.0073,              0.0073,              0.0073
